MIN;AVG;MAX
10;26;50
10;42;60
34;59;60
42;59;60
44;59;60
42;58;60
10;56;60
30;48;58
29;48;57
21;51;60
30;51;58
19;49;57
29;49;59
10;51;60
58;60;60
38;58;60
54;59;60
41;59;60
45;59;60
58;60;60
46;59;60
40;59;60
57;59;60
44;59;60
40;59;60
39;59;60
37;59;60
55;59;60
